Respondent,Condition,Gender,GP01_01,GP02_01,GP02_02,GP02_03,GP02_04,GP02_05,GP02_06,GP02_07,GP02_08,GP02_09,GP03_01
NV5UJ,1,1,1,1,1,3,1,5,4,1,5,1,1
qcp03,2,1,1,1,1,1,1,4,4,5,4,1,1
jZXG3,2,1,5,5,5,6,6,7,5,3,5,7,5
czCN9,1,1,2,1,1,6,1,6,3,1,7,5,4
wi1Kv,1,1,1,1,1,1,1,6,7,2,1,1,1
0S39A,1,1,2,1,6,6,2,4,5,5,6,2,6
hCwSO,2,1,1,1,1,2,1,2,1,1,1,1,1
9QQjf,2,1,1,4,4,6,4,6,4,4,4,4,4
hxrts,1,1,1,1,3,5,1,7,5,3,4,4,2
cfZcv,2,1,1,1,1,2,1,3,1,1,2,1,1
EDXz0,2,1,2,1,1,1,1,4,1,3,4,2,2
eV1RY,2,1,1,1,5,1,5,7,7,1,7,1,3
uuaCd,1,1,1,1,1,1,1,2,2,1,3,1,1
JymeM,2,1,1,1,1,5,1,5,1,3,5,1,3
OH6JP,1,2,7,6,6,1,4,2,7,5,7,7,7
Cnjuu,2,1,2,1,2,7,1,7,4,3,5,2,5
88ryJ,2,1,2,1,4,7,4,7,4,3,6,4,4
LRIub,2,1,2,2,3,5,2,6,4,1,5,4,2
ONkJS,1,1,2,2,2,2,4,4,2,2,4,4,3
rYB6s,1,1,1,1,1,4,1,4,1,3,5,1,1
9oJ9n,2,1,2,1,1,3,1,5,2,1,3,1,2
WJMPc,2,1,1,1,1,1,1,5,5,1,2,1,5
mHYXQ,1,1,1,1,1,7,1,7,7,1,7,1,1
SsLgj,2,1,2,1,1,5,1,5,1,1,4,1,3
