Participant,Prime,Probe,Nsame,Ntotal
ma2,Sphere,Sphere,22,119
ma2,Sphere,Quadro,23,118
ma2,Sphere,Dual,15,120
ma2,Sphere,Single,31,115
ma2,Quadro,Sphere,25,120
ma2,Quadro,Quadro,26,120
ma2,Quadro,Dual,17,120
ma2,Quadro,Single,40,119
ma2,Dual,Sphere,30,120
ma2,Dual,Quadro,35,116
ma2,Dual,Dual,32,120
ma2,Dual,Single,58,120
ma2,Single,Sphere,41,120
ma2,Single,Quadro,36,120
ma2,Single,Dual,58,120
ma2,Single,Single,46,118
sp2,Sphere,Sphere,10,119
sp2,Sphere,Quadro,13,118
sp2,Sphere,Dual,12,120
sp2,Sphere,Single,45,115
sp2,Quadro,Sphere,13,120
sp2,Quadro,Quadro,13,120
sp2,Quadro,Dual,25,120
sp2,Quadro,Single,50,119
sp2,Dual,Sphere,7,120
sp2,Dual,Quadro,9,116
sp2,Dual,Dual,27,120
sp2,Dual,Single,59,120
sp2,Single,Sphere,25,120
sp2,Single,Quadro,31,120
sp2,Single,Dual,39,120
sp2,Single,Single,60,118
wf2,Sphere,Sphere,10,79
wf2,Sphere,Quadro,8,79
wf2,Sphere,Dual,8,80
wf2,Sphere,Single,25,77
wf2,Quadro,Sphere,11,80
wf2,Quadro,Quadro,10,80
wf2,Quadro,Dual,6,80
wf2,Quadro,Single,25,79
wf2,Dual,Sphere,2,80
wf2,Dual,Quadro,5,78
wf2,Dual,Dual,11,80
wf2,Dual,Single,22,80
wf2,Single,Sphere,16,80
wf2,Single,Quadro,8,80
wf2,Single,Dual,11,80
wf2,Single,Single,21,78
jf2,Sphere,Sphere,7,79
jf2,Sphere,Quadro,10,79
jf2,Sphere,Dual,22,80
jf2,Sphere,Single,24,77
jf2,Quadro,Sphere,19,80
jf2,Quadro,Quadro,10,80
jf2,Quadro,Dual,38,80
jf2,Quadro,Single,27,79
jf2,Dual,Sphere,12,80
jf2,Dual,Quadro,27,78
jf2,Dual,Dual,61,80
jf2,Dual,Single,28,80
jf2,Single,Sphere,37,80
jf2,Single,Quadro,35,80
jf2,Single,Dual,42,80
jf2,Single,Single,15,78
ap2,Sphere,Sphere,3,24
ap2,Sphere,Quadro,3,24
ap2,Sphere,Dual,4,24
ap2,Sphere,Single,7,22
ap2,Quadro,Sphere,1,24
ap2,Quadro,Quadro,1,24
ap2,Quadro,Dual,2,24
ap2,Quadro,Single,9,24
ap2,Dual,Sphere,3,24
ap2,Dual,Quadro,7,23
ap2,Dual,Dual,4,24
ap2,Dual,Single,9,24
ap2,Single,Sphere,11,24
ap2,Single,Quadro,4,24
ap2,Single,Dual,11,24
ap2,Single,Single,15,24
nr2,Sphere,Sphere,31,79
nr2,Sphere,Quadro,36,79
nr2,Sphere,Dual,32,80
nr2,Sphere,Single,38,77
nr2,Quadro,Sphere,36,80
nr2,Quadro,Quadro,26,80
nr2,Quadro,Dual,35,80
nr2,Quadro,Single,38,79
nr2,Dual,Sphere,41,80
nr2,Dual,Quadro,44,78
nr2,Dual,Dual,52,80
nr2,Dual,Single,55,80
nr2,Single,Sphere,47,80
nr2,Single,Quadro,53,80
nr2,Single,Dual,55,80
nr2,Single,Single,55,78
vj2,Sphere,Sphere,14,79
vj2,Sphere,Quadro,16,79
vj2,Sphere,Dual,30,80
vj2,Sphere,Single,35,77
vj2,Quadro,Sphere,15,80
vj2,Quadro,Quadro,22,80
vj2,Quadro,Dual,27,80
vj2,Quadro,Single,36,79
vj2,Dual,Sphere,20,80
vj2,Dual,Quadro,16,78
vj2,Dual,Dual,29,80
vj2,Dual,Single,44,80
vj2,Single,Sphere,27,80
vj2,Single,Quadro,28,80
vj2,Single,Dual,45,80
vj2,Single,Single,44,78
